Weapon ID,Name,Type,Manufacturer/Brand,Caliber,Barrel Length (mm),Effective Range (m),Magazine Capacity,Weight (kg),Material,Action Type,Usage,Introduced Year,Price (INR),Popularity,Legal Restrictions
172,Winchester Model 1300,Shotgun,Winchester,12 Gauge,800,50,7,3.4,Steel,Pump-action,Self-defense,1988,38000,Medium,Restricted
173,Browning Auto-5,Shotgun,Browning,12 Gauge,800,50,5,3.5,Steel,Gas-operated,Self-defense,1905,70000,High,Restricted
174,Remington 1100,Shotgun,Remington,12 Gauge,800,50,8,3.0,Steel,Gas-operated,Self-defense,1963,48000,High,Restricted
175,Saiga-12,Shotgun,Izhmash,12 Gauge,800,50,5,3.6,Steel,Gas-operated,Military,1990,75000,High,Restricted
176,Franchi Law 12,Shotgun,Franchi,12 Gauge,800,50,7,3.3,Steel,Gas-operated,Military/Police,1997,60000,High,Restricted
177,M1 Super 90,Shotgun,Benelli,12 Gauge,800,50,7,3.0,Steel,Gas-operated,Military/Police,1991,72000,High,Restricted
178,M870 Express Tactical,Shotgun,Remington,12 Gauge,800,50,8,3.1,Steel/Plywood,Pump-action,Military,2005,52000,High,Restricted
179,Breda 9300,Shotgun,Breda,12 Gauge,800,50,7,3.3,Steel,Gas-operated,Self-defense,2000,46000,Medium,Restricted
180,Beretta 682,Shotgun,Beretta,12 Gauge,800,50,5,3.0,Steel/Polymer,Over/Under,Self-defense,1985,90000,Medium,Restricted
181,Browning Maxus,Shotgun,Browning,12 Gauge,800,50,5,3.2,Steel/Polymer,Gas-operated,Self-defense,2008,88000,High,Restricted
182,Mossberg Maverick 88,Shotgun,Mossberg,12 Gauge,800,50,7,3.0,Steel,Pump-action,Self-defense,1988,37000,Medium,Restricted
183,Stoeger 2000,Shotgun,Stoeger,12 Gauge,800,50,5,3.0,Steel,Gas-operated,Self-defense,2002,45000,Medium,Restricted
184,FNH FN Herstal,Shotgun,FN Herstal,12 Gauge,800,50,6,3.4,Steel,Gas-operated,Military,2010,85000,High,Restricted
185,Benelli Nova,Shotgun,Benelli,12 Gauge,800,50,5,3.5,Steel/Polymer,Pump-action,Self-defense,2000,60000,High,Restricted
186,IWI Tavor TS12,Shotgun,IWI,12 Gauge,800,50,15,3.2,Steel/Polymer,Gas-operated,Military,2018,92000,High,Restricted
187,Beretta 1301,Shotgun,Beretta,12 Gauge,800,50,5,3.1,Steel/Polymer,Gas-operated,Military,2011,80000,High,Restricted
188,Savage Arms 12 gauge,Shotgun,Savage Arms,12 Gauge,800,50,7,3.2,Steel,Lever-action,Self-defense,2010,43000,Medium,Restricted
189,Stoeger P3500,Shotgun,Stoeger,12 Gauge,800,50,8,3.3,Steel/Plywood,Gas-operated,Self-defense,2010,49000,Medium,Restricted
190,Remington Versa Max,Shotgun,Remington,12 Gauge,800,50,6,3.0,Steel,Gas-operated,Self-defense,2011,60000,High,Restricted
191,Benelli Raffaello,Shotgun,Benelli,12 Gauge,800,50,7,3.1,Steel/Polymer,Gas-operated,Self-defense,1997,72000,High,Restricted
192,Mossberg 590,Shotgun,Mossberg,12 Gauge,800,50,8,3.2,Steel,Pump-action,Military,1967,60000,High,Restricted
193,Browning BPS,Shotgun,Browning,12 Gauge,800,50,5,3.3,Steel/Plywood,Pump-action,Self-defense,1984,70000,Medium,Restricted
194,Beretta PX4 Storm Tactical Shotgun,Shotgun,Beretta,12 Gauge,800,50,7,3.2,Steel/Polymer,Gas-operated,Military,2010,85000,High,Restricted
195,TriCa 7.62x39 mm Carbine,Carbine,TriCa,7.62mm,400,1000,30,3.1,Steel/Polymer,Gas-operated,Military,2005,45000,High,Restricted
196,IWI Tavor X95,Carbine,IWI,5.56mm,500,1000,30,3.2,Steel/Polymer,Gas-operated,Military,2010,60000,High,Restricted
197,M4 Carbine,Carbine,Colt,5.56mm,500,1000,30,3.3,Steel/Polymer,Gas-operated,Military,1994,70000,High,Restricted
198,SCAR H and SCAR L,Carbine,FN Herstal,5.56mm,500,1000,30,3.0,Steel/Polymer,Gas-operated,Military,2009,80000,High,Restricted
199,FN P90,Submachine Gun,FN Herstal,5.7mm,800,1000,50,2.5,Polymer,Gas-operated,Military,1990,90000,High,Restricted
200,FN F2000,Assault Rifle,FN Herstal,5.56mm,550,1000,30,3.4,Steel/Polymer,Gas-operated,Military,2006,85000,High,Restricted
201,IWI Arad,Assault Rifle,IWI,5.56mm,500,1000,30,3.2,Steel/Polymer,Gas-operated,Military,2012,70000,High,Restricted
202,Colt M4A1,Assault Rifle,Colt,5.56mm,500,1000,30,3.3,Steel/Polymer,Gas-operated,Military,1994,75000,High,Restricted
203,Kalashnikov AK-74U,Assault Rifle,Kalashnikov,5.45mm,500,1000,30,3.0,Steel/Polymer,Gas-operated,Military,1994,70000,High,Restricted
204,Heckler & Koch G36C,Assault Rifle,Heckler & Koch,5.56mm,500,1000,30,3.1,Steel/Polymer,Gas-operated,Military,1997,80000,High,Restricted
205,Beretta CX4 Storm,Carbine,Beretta,9mm,400,1000,30,3.0,Polymer,Gas-operated,Military,2003,60000,Medium,Restricted
206,CZ Scorpion Evo 3,Submachine Gun,CZ,9mm,400,1000,30,2.8,Polymer,Gas-operated,Military,2009,65000,High,Restricted
207,Beretta ARX160,Assault Rifle,Beretta,5.56mm,500,1000,30,3.0,Steel/Polymer,Gas-operated,Military,2009,75000,High,Restricted
208,Ruger PC Carbine,Carbine,Ruger,9mm,400,1000,17,2.7,Polymer,Gas-operated,Self-defense,2017,50000,Medium,Restricted
209,Springfield M1A SOCOM,Assault Rifle,Springfield,.308 Winchester,700,1000,20,4.0,Steel,Gas-operated,Military,2003,85000,High,Restricted
210,M1 Carbine,Carbine,Springfield,.30 Carbine,700,1000,15,3.0,Steel,Gas-operated,Military,1942,55000,Medium,Restricted
211,HK G36,Assault Rifle,Heckler & Koch,5.56mm,500,1000,30,3.2,Steel/Polymer,Gas-operated,Military,1995,80000,High,Restricted
212,M1A1 Carbine,Carbine,Springfield,.30 Carbine,700,1000,15,3.1,Steel,Gas-operated,Military,1940,60000,Medium,Restricted
213,SAR-21,Assault Rifle,ST Kinetics,5.56mm,500,1000,30,3.0,Steel/Polymer,Gas-operated,Military,1999,70000,High,Restricted
214,Steyr AUG A3,Assault Rifle,Steyr,5.56mm,500,1000,30,3.1,Steel/Polymer,Gas-operated,Military,2003,75000,High,Restricted
215,CZ 805 Bren,Assault Rifle,CZ,5.56mm,500,1000,30,3.2,Steel/Polymer,Gas-operated,Military,2008,80000,High,Restricted
216,FN Herstal FN F2000,Assault Rifle,FN Herstal,5.56mm,500,1000,30,3.3,Steel/Polymer,Gas-operated,Military,2001,85000,High,Restricted
217,SIG MPX,Submachine Gun,SIG Sauer,9mm,400,1000,30,2.7,Polymer,Gas-operated,Military,2011,70000,High,Restricted
218,F2000 Tactical,Assault Rifle,FN Herstal,5.56mm,500,1000,30,3.3,Steel/Polymer,Gas-operated,Military,2008,90000,High,Restricted
219,Colt Canada C8,Assault Rifle,Colt Canada,5.56mm,500,1000,30,3.0,Steel/Polymer,Gas-operated,Military,1990,85000,High,Restricted
220,Bushmaster ACR,Assault Rifle,Bushmaster,5.56mm,500,1000,30,3.1,Steel/Polymer,Gas-operated,Military,2009,90000,High,Restricted
221,Stag Arms 7.62 NATO Carbine,Carbine,Stag Arms,7.62mm,500,1000,20,3.8,Steel/Polymer,Gas-operated,Military,2008,95000,High,Restricted
222,Tavor TAR-21,Assault Rifle,Israel Weapon Industries,5.56mm,500,1000,30,3.1,Steel/Polymer,Gas-operated,Military,2001,80000,High,Restricted
223,M249 Light Machine Gun,Light Machine Gun,FN Herstal,5.56mm,400,1000,200 (Belt-fed),8.2,Steel/Polymer,Gas-operated,Military,1984,120000,High,Restricted
224,MG3,Machine Gun,Heckler & Koch,7.62mm,500,1200,100 (Belt-fed),8.0,Steel,Gas-operated,Military,1967,150000,High,Restricted
225,Bren LMG,Light Machine Gun,Brenco,7.62mm,500,1200,100 (Belt-fed),8.1,Steel,Gas-operated,Military,1938,135000,High,Restricted
226,M2 Browning,Heavy Machine Gun,John Browning,.50 BMG,700,1500,100 (Belt-fed),12.0,Steel,Gas-operated,Military,1933,180000,High,Restricted
227,M60 Machine Gun,Machine Gun,General Electric,7.62mm,500,1200,100 (Belt-fed),8.5,Steel,Gas-operated,Military,1957,160000,High,Restricted
228,FN MAG,Machine Gun,FN Herstal,7.62mm,500,1200,100 (Belt-fed),9.0,Steel,Gas-operated,Military,1958,170000,High,Restricted
229,PKM,Machine Gun,Kalashnikov,7.62mm,500,1200,100 (Belt-fed),8.5,Steel,Gas-operated,Military,1969,150000,High,Restricted
230,ZBROYAR Z-15,Assault Rifle,Zbroyar,5.56mm,500,1000,30,3.2,Steel/Polymer,Gas-operated,Military,2011,75000,High,Restricted
231,Negev NG7,Light Machine Gun,Israel Weapon Industries,5.56mm,500,1200,200 (Belt-fed),7.5,Steel/Polymer,Gas-operated,Military,2005,140000,High,Restricted
232,Negev NG5,Light Machine Gun,Israel Weapon Industries,5.56mm,500,1200,200 (Belt-fed),7.3,Steel/Polymer,Gas-operated,Military,2008,130000,High,Restricted
233,M240B,Machine Gun,FN Herstal,7.62mm,500,1200,100 (Belt-fed),9.0,Steel,Gas-operated,Military,1977,160000,High,Restricted
234,M134 Minigun,Machine Gun,General Electric,.223 Remington,2000,2000,1000 (Belt-fed),18.0,Steel,Electric,Military,1963,500000,High,Restricted
235,F2000 Tactical LMG,Light Machine Gun,FN Herstal,5.56mm,500,1200,200 (Belt-fed),8.0,Steel/Polymer,Gas-operated,Military,2008,150000,High,Restricted
236,Czub P-30B,Handgun,Czub,9mm,102,50,15,0.80,Steel/Polymer,Short recoil,Self-defense,2003,35000,Medium,Restricted
237,GPMD 63,Machine Gun,Polska,7.62mm,500,1200,100 (Belt-fed),8.5,Steel,Gas-operated,Military,1963,145000,High,Restricted
238,DP-28,Machine Gun,Degtyaryov,7.62mm,500,1200,47 (Drum-fed),10.0,Steel,Gas-operated,Military,1928,130000,High,Restricted
239,Browning M1917,Machine Gun,Browning,.30-06 Springfield,500,1500,250 (Belt-fed),10.0,Steel,Water-cooled,Military,1917,160000,High,Restricted
240,MG5,Machine Gun,Heckler & Koch,7.62mm,500,1200,100 (Belt-fed),8.0,Steel,Gas-operated,Military,2011,180000,High,Restricted
241,Maxim Gun,Machine Gun,Maxim,7.62mm,500,1200,250 (Belt-fed),9.5,Steel,Water-cooled,Military,1884,150000,High,Restricted
242,MG34,Machine Gun,Mauser,7.92mm,500,1200,250 (Belt-fed),8.0,Steel,Gas-operated,Military,1934,160000,High,Restricted
243,M60E6,Machine Gun,General Electric,7.62mm,500,1200,100 (Belt-fed),8.5,Steel,Gas-operated,Military,2004,170000,High,Restricted
244,Lahti L-39,Anti-tank Rifle,Lahti,20mm,200,600,5,18.0,Steel,Single-shot,Military,1939,200000,High,Restricted
245,Minimi Mk 3,Light Machine Gun,FN Herstal,5.56mm,500,1200,200 (Belt-fed),7.5,Steel,Gas-operated,Military,2014,135000,High,Restricted
246,M249 PARA,Light Machine Gun,FN Herstal,5.56mm,500,1200,200 (Belt-fed),7.0,Steel/Polymer,Gas-operated,Military,1989,125000,High,Restricted
